ID,NpcPic,NpcPos,Condition,GatherList,Path,AwardList,Prestige,LOGO,Dream,Talk,DreamHint,TaskName,TaskHint,NewTaskHint
TA_0001,npc_spirit,"[210,119]",[],"[[""avatar"", ""AV280005"", ""count"", 1, ""MISSION_IFNO_0001""],[""avatar"", ""AV040004"", ""count"", 1, ""MISSION_IFNO_0001""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100],[""item"", ""IT0305"",""count"", 4]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0001,null,TA_0001_2,[],MISSION_NAME_0001,MISSION_INTRO_0001,MISSION_DIALOG_0001
TA_0002,npc_spirit,"[210,119]","[[""task"", ""TA_0001"", ""status"", 2]]","[[""item"", ""IT0316"", ""count"", 2, ""MISSION_IFNO_0002""],[""avatar"", ""AV250001"", ""count"", 2, ""MISSION_IFNO_0001""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0002,DM_0002,TA_0002_2,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0002,MISSION_INTRO_0002,MISSION_DIALOG_0002
TA_0003,npc_spirit,"[210,119]","[[""task"", ""TA_0002"", ""status"", 2]]","[[""avatar"", ""AV020015"",""count"", 1, ""MISSION_IFNO_0002""],[""item"", ""IT0300"", ""count"", 3, ""MISSION_IFNO_RES""],[""avatar"", ""AV020013"", ""count"", 1, ""MISSION_IFNO_ENC""]]","[1,2,2]","[[""currency"", ""IT0011"",""count"", 100],[""item"", ""IT0316"",""count"", 1],[""item"", ""IT1001"",""count"", 1]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,DM_0003,TA_0003_2,"[""dream_0002"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0003,MISSION_INTRO_0003,MISSION_DIALOG_0003
TA_0004,npc_spirit,"[210,119]","[[""task"", ""TA_0003"", ""status"", 2]]","[[""avatar"", ""AV040004"",""count"", 2, ""MISSION_IFNO_0001""],[""item"", ""IT0316"", ""count"", 5, ""MISSION_IFNO_0002""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,null,TA_0004_1,[],MISSION_NAME_0004,MISSION_INTRO_0004,MISSION_DIALOG_0004
TA_0005,npc_spirit,"[210,119]","[[""task"", ""TA_0004"", ""status"", 2]]","[[""avatar"", ""AV250015"",""count"", 1, ""MISSION_IFNO_0003""],[""item"", ""IT0330"", ""count"", 1, ""MISSION_IFNO_0002""],[""avatar"", ""AV040013"",""count"", 1, ""MISSION_IFNO_COM""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,DM_0005,TA_0005_2,"[""dream_0002"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0005,MISSION_INTRO_0005,MISSION_DIALOG_0005
TA_0006,npc_spirit,"[210,119]","[[""task"", ""TA_0005"", ""status"", 2]]","[[""item"", ""IT0305"", ""count"", 3, ""MISSION_IFNO_0001""],[""avatar"", ""AV020015"",""count"", 2, ""MISSION_IFNO_0002""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,null,TA_0006_1,[],MISSION_NAME_0006,MISSION_INTRO_0006,MISSION_DIALOG_0006
TA_0007,npc_spirit,"[210,119]","[[""task"", ""TA_0006"", ""status"", 2]]","[[""avatar"", ""AV240008"",""count"", 1, ""MISSION_IFNO_0004""],[""avatar"", ""AV250015"",""count"", 3, ""MISSION_IFNO_0003""],[""avatar"", ""AV250013"",""count"", 1, ""MISSION_IFNO_EVO""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 140]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0003,DM_0007,TA_0007_2,"[""dream_0005"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0007,MISSION_INTRO_0007,MISSION_DIALOG_0007
TA_0008,npc_spirit,"[210,119]","[[""task"", ""TA_0007"", ""status"", 2]]","[[""avatar"", ""AV010010"",""count"", 1, ""MISSION_IFNO_0001""],[""item"", ""IT0301"",""count"", 5, ""MISSION_IFNO_0003""],[""avatar"", ""AV010008"",""count"", 1, ""MISSION_IFNO_ENC""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,null,TA_0008_1,[],MISSION_NAME_0008,MISSION_INTRO_0008,MISSION_DIALOG_0008
TA_0009,npc_spirit,"[210,119]","[[""task"", ""TA_0008"", ""status"", 2]]","[[""avatar"", ""AV240008"",""count"", 1, ""MISSION_IFNO_0004""],[""avatar"", ""AV100009"",""count"", 1, ""MISSION_IFNO_0002""],[""item"", ""IT0332"",""count"", 1, ""MISSION_IFNO_RES""]]","[1,1,2]","[[""currency"", ""IT0011"",""count"", 100]]","[[""item"",""IT0030"",""count"",15]]",LOGO_0003,DM_0009,TA_0009_2,"[""dream_0003"", ""MISSION_IFNO_1_3""]",MISSION_NAME_0009,MISSION_INTRO_0009,MISSION_DIALOG_0009
TA_0010,npc_spirit,"[210,119]","[[""task"", ""TA_0009"", ""status"", 2]]","[[""item"", ""IT0319"",""count"", 4, ""MISSION_IFNO_0004""],[""avatar"", ""AV280003"",""count"", 1, ""MISSION_IFNO_0003""]]","[1,1]","[[""currency"", ""IT0011"",""count"", 140],[""item"", ""IT1002"",""count"", 1]]","[[""item"",""IT0030"",""count"",20]]",LOGO_0003,null,TA_0010_2,[],MISSION_NAME_0010,MISSION_INTRO_0010,MISSION_DIALOG_0010
